agent_id agent_interest location_of_home available_balance monthly_income education_level family_size
0 D 0 2813.0 10155.0 3 3
1 C 0 1677.0 8890.0 2 3
2 B 0 2266.0 10136.0 3 3
3 I 0 1696.0 8807.0 2 3
4 H 0 242.0 4073.0 2 3
5 E 4 1806.0 11544.0 2 3
6 H 0 1518.0 7238.0 2 3
7 H 3 2029.0 11149.0 2 3
8 B 0 2491.0 9863.0 3 3
9 I 3 1975.0 10934.0 2 3
10 I 0 1542.0 7202.0 2 3
11 D 3 3168.0 18400.0 3 3
12 J 0 439.0 2531.0 2 3
13 I 0 3363.0 15259.0 4 3
14 J 0 945.0 1680.0 1 3
15 D 0 1186.0 1807.0 3 3
16 D 0 388.0 3153.0 3 3
17 B 0 566.0 2754.0 2 3
18 E 3 1161.0 6586.0 1 3
19 F 0 1372.0 1840.0 3 3
20 G 0 1028.0 2461.0 3 3
21 B 0 3572.0 11862.0 4 3
22 J 0 370.0 3164.0 2 3
23 D 0 1832.0 8860.0 3 3
24 I 4 3627.0 18400.0 4 3
25 E 3 1028.0 1840.0 2 3
26 B 4 3496.0 18400.0 4 3
27 B 2 1986.0 10851.0 2 3
28 H 0 882.0 1840.0 1 3
29 B 1 3264.0 18400.0 4 3
30 B 0 675.0 1760.0 2 3
31 F 1 2059.0 10085.0 2 3
32 A 3 773.0 2601.0 2 3
33 A 0 1480.0 2596.0 3 3
34 A 0 3334.0 11337.0 4 3
35 G 0 1029.0 5305.0 3 3
36 J 0 1431.0 4442.0 3 3
37 C 0 1495.0 6871.0 2 3
38 F 0 1183.0 1840.0 3 3
39 G 4 1634.0 9657.0 2 3
40 G 0 2637.0 2012.0 4 3
41 A 0 2854.0 11132.0 4 3
42 B 0 1532.0 6810.0 2 3
43 C 0 1246.0 5358.0 1 3
44 G 2 2835.0 16598.0 3 3
45 C 3 4012.0 18400.0 4 3
46 I 1 2435.0 14924.0 3 3
47 A 0 381.0 3780.0 2 3
48 A 1 3248.0 18400.0 4 3
49 E 0 1419.0 6238.0 2 3
50 F 0 863.0 2241.0 1 3
51 D 0 1392.0 5854.0 2 3
52 G 5 2829.0 14871.0 3 3
53 F 0 2861.0 11095.0 4 3
54 F 5 1754.0 9589.0 2 3
55 G 4 2666.0 14361.0 3 3
56 E 4 1605.0 9452.0 2 3
57 A 0 992.0 2532.0 2 3
58 A 0 1079.0 5122.0 1 3
59 F 0 3164.0 10828.0 4 3
60 D 4 3426.0 18400.0 4 3
61 J 0 2014.0 9017.0 3 3
62 E 4 1516.0 9110.0 2 3
63 C 2 2981.0 17569.0 4 3
64 D 0 1128.0 1840.0 2 3
65 J 0 1263.0 5804.0 2 3
66 F 0 704.0 2530.0 2 3
67 A 0 1408.0 4831.0 1 3
68 H 2 1593.0 8867.0 2 3
69 H 0 1114.0 1840.0 2 3
70 E 0 1614.0 5685.0 2 3
71 C 0 3428.0 10657.0 4 3
72 H 0 1084.0 4327.0 1 3
73 B 0 211.0 2927.0 1 3
74 I 3 1013.0 1760.0 2 3
75 A 0 1654.0 5672.0 2 3
76 D 0 1262.0 5636.0 2 3
77 C 3 2634.0 13335.0 3 3
78 E 3 1654.0 8364.0 2 3
79 D 0 1049.0 2684.0 3 3
80 C 0 1173.0 1904.0 2 3
81 F 0 1621.0 5598.0 2 3
82 J 0 431.0 3307.0 2 3
83 H 0 1535.0 5576.0 2 3
84 C 0 700.0 2278.0 2 3
85 I 0 443.0 2678.0 1 3
86 A 3 1373.0 5884.0 1 3
87 A 1 3057.0 13199.0 3 3
88 G 1 1615.0 8282.0 2 3
89 G 0 2374.0 8806.0 3 3
90 B 0 526.0 2432.0 2 3
91 G 0 1405.0 2964.0 3 3
92 G 0 1179.0 5527.0 2 3
93 A 0 310.0 2190.0 2 3
94 E 1 1384.0 5617.0 1 3
95 J 0 813.0 1840.0 2 3
96 D 0 1624.0 5470.0 2 3
97 F 0 974.0 4256.0 1 3
98 J 0 1526.0 5470.0 2 3
99 J 0 2508.0 10245.0 4 3
100 B 0 123.0 3342.0 2 3
101 H 0 1113.0 3652.0 1 3
102 D 0 1126.0 5404.0 2 3
103 D 0 2377.0 8729.0 3 3
104 B 0 961.0 3409.0 1 3
105 I 0 1180.0 5218.0 2 3
106 D 0 3052.0 10219.0 4 3
107 H 2 163.0 4336.0 2 3
108 F 0 1498.0 5067.0 2 3
109 B 0 1277.0 5043.0 2 3
110 G 0 832.0 3548.0 1 3
111 I 3 978.0 1840.0 2 3
112 C 0 1808.0 8564.0 3 3
113 A 0 864.0 1840.0 2 3
114 F 3 873.0 1840.0 2 3
115 F 0 2243.0 9216.0 4 3
116 G 0 1364.0 4824.0 2 3
117 F 0 1816.0 8293.0 3 3
118 E 0 838.0 3380.0 3 3
119 D 0 1206.0 5004.0 2 3
120 C 0 1119.0 1840.0 2 3
121 J 0 461.0 3364.0 2 3
122 J 0 1200.0 4948.0 2 3
123 H 0 863.0 1840.0 2 3
124 C 0 2395.0 8091.0 3 3
125 E 0 855.0 3481.0 1 3
126 F 0 1307.0 4881.0 2 3
127 E 4 2330.0 13141.0 3 3
128 B 1 2881.0 12632.0 3 3
129 F 2 2591.0 12513.0 3 3
130 B 2 2408.0 12458.0 3 3
131 I 4 1742.0 8274.0 2 3
132 B 4 2664.0 12211.0 3 3
133 J 1 1371.0 5384.0 1 3
134 B 1 1836.0 8246.0 2 3
135 A 3 750.0 2410.0 2 3
136 C 1 2667.0 11884.0 3 3
137 H 1 3827.0 17285.0 4 3
138 E 1 1853.0 8019.0 2 3
139 A 2 1554.0 7919.0 2 3
140 E 2 1823.0 7801.0 2 3
141 C 0 2307.0 8076.0 3 3
142 E 0 975.0 2047.0 3 3
143 E 2 1437.0 5133.0 1 3
144 I 0 738.0 5628.0 4 3
145 F 2 1359.0 7656.0 2 3
146 H 0 1042.0 3459.0 1 3
147 G 2 2614.0 11851.0 3 3
148 E 0 968.0 1972.0 2 3
149 B 2 1405.0 7615.0 2 3
150 J 0 3423.0 9205.0 4 3
151 G 0 1054.0 4873.0 2 3
152 I 0 902.0 2383.0 2 3
153 I 0 1548.0 3064.0 3 3
154 I 1 1528.0 7531.0 2 3
155 A 1 1372.0 5084.0 1 3
156 D 2 1670.0 7516.0 2 3
157 A 2 1835.0 7435.0 2 3
158 I 0 1091.0 4836.0 2 3
159 H 0 1062.0 4410.0 2 3
160 I 4 1240.0 4942.0 1 3
161 A 0 413.0 2841.0 2 3
162 A 0 788.0 7102.0 3 3
163 G 0 1321.0 4829.0 2 3
164 C 4 926.0 4652.0 1 3
165 C 0 916.0 2441.0 2 3
166 E 0 798.0 1840.0 2 3
167 D 0 1494.0 4798.0 2 3
168 G 0 883.0 2097.0 2 3
169 H 3 993.0 2535.0 2 3
170 G 4 1412.0 7407.0 2 3
171 G 0 1875.0 7634.0 3 3
172 J 0 1851.0 7915.0 3 3
173 J 1 1459.0 7342.0 2 3
174 J 1 3922.0 16592.0 4 3
175 G 5 2647.0 11734.0 3 3
176 C 5 2628.0 11098.0 3 3
177 I 0 860.0 3457.0 1 3
178 F 3 859.0 1840.0 2 3
179 A 0 1500.0 4772.0 2 3
180 A 0 2497.0 9129.0 4 3
181 B 0 581.0 2406.0 1 3
182 H 0 1635.0 2856.0 4 3
183 H 0 2993.0 9127.0 4 3
184 D 0 1133.0 2494.0 2 3
185 D 0 715.0 2404.0 2 3
186 C 5 3382.0 16498.0 4 3
187 C 0 956.0 5675.0 3 3
188 J 0 2346.0 8920.0 4 3
189 D 0 2088.0 7864.0 3 3
190 C 5 3127.0 16407.0 4 3
191 E 5 1620.0 7298.0 2 3
192 F 4 1245.0 6920.0 2 3
193 J 4 2494.0 10904.0 3 3
194 D 2 1125.0 1760.0 2 3
195 B 4 1301.0 7224.0 2 3
196 G 0 2055.0 7513.0 3 3
197 A 4 1128.0 4861.0 1 3
198 I 5 1804.0 7162.0 2 2
199 E 0 1415.0 2717.0 4 2
200 B 0 369.0 2896.0 2 2
201 G 0 2920.0 8789.0 4 2
202 E 0 2388.0 7510.0 3 2
203 B 5 2618.0 10792.0 3 2
204 C 0 357.0 3075.0 2 2
205 I 5 3362.0 15968.0 4 2
206 F 0 2129.0 6842.0 3 2
207 D 2 1780.0 7124.0 2 2
208 A 2 1461.0 7114.0 2 2
209 F 0 1257.0 2098.0 3 2
210 J 2 1466.0 7087.0 2 2
211 B 0 1257.0 4739.0 2 2
212 D 0 1321.0 4673.0 2 2
213 J 2 1500.0 7080.0 2 2
214 E 0 721.0 2812.0 1 2
215 F 3 1259.0 1843.0 3 2
216 I 2 2480.0 10506.0 3 2
217 H 0 2032.0 7145.0 3 2
218 J 0 1155.0 4635.0 2 2
219 A 1 1458.0 6763.0 2 2
220 H 0 1694.0 7042.0 3 2
221 F 0 1494.0 4572.0 2 2
222 B 0 2247.0 7024.0 3 2
223 I 0 1243.0 4530.0 2 2
224 C 0 978.0 3433.0 1 2
225 D 2 1459.0 7007.0 2 2
226 C 2 939.0 1840.0 2 2
227 G 0 1037.0 4517.0 2 2
228 E 0 905.0 1930.0 2 2
229 C 0 1861.0 6901.0 3 2
230 G 0 3396.0 8724.0 4 2
231 F 0 2436.0 6612.0 3 2
232 E 0 872.0 2274.0 2 2
233 A 0 2975.0 8573.0 4 2
234 J 0 1773.0 6176.0 4 2
235 H 3 1081.0 1840.0 2 2
236 D 0 1659.0 2477.0 3 2
237 F 0 1651.0 3913.0 4 2
